Product Name,Current Price,Old Price,Rating
"Vitamin C Face Serum Brightening,Hydrating Face Serum Anti-aging Facial Serum with Hyaluronic Acid",KSh 499,KSh 899,N/A
"Vitamin C 2pcs Serum Anti-acne,Anti- Aging Vitamin C Serum Face Serum Brightening Anti-Moisturzing Essence",KSh 690,"KSh 1,199",1 out of 5
Vitamin C Face Serum Anti-acne anti-aging Serum With Hyaluronic Acid Moisturizing Essence,KSh 499,KSh 649,N/A
"Vitamin C Serum Anti Wrinkle,Anti- Aging Face Serum Brightening Anti-Acne,Vitamin C Serum",KSh 499,KSh 899,N/A
Mabox Anti-acne Vitamin C Serum With Hyaluronic Acid + Vitamin E Face Serum.,KSh 849,"KSh 1,450",4.6 out of 5
Dr. Rashel Vitamin C Face Serum -50ml.,KSh 490,KSh 600,4.9 out of 5
Dr. Rashel Dr Rashel Vitamin C Brightening and Anti-aging Eye Serum 30mlm 30gm,KSh 700,N/A,N/A
Dr. Rashel Vitamin C Brightening & Anti-Ageing Eye Serum -30ml,KSh 417,KSh 550,5 out of 5
Vitamin C Serum Brightening Face Serum Anti-wrinkles Vitamin C,KSh 650,N/A,4.3 out of 5
Dr. Rashel Vitamin C Brightening and Anti-aging Eye serum with Hyaluronic Acid and Collagen,KSh 417,KSh 650,5 out of 5
QBD Anti-acne Vitamin C Serum With Hyaluronic Acid Serum.,KSh 520,"KSh 1,000",4.1 out of 5
"Pei Mei  Vitamin C, Retinol C & Hyaluronic-Acid-30ml.",KSh 495,KSh 600,N/A
Dr. Rashel Vitamin  C  Brightening &   Eye Serum.,KSh 700,"KSh 1,200",N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Eye Serum,KSh 459,KSh 800,4 out of 5
ANTI-ACNE VITAMIN C SERUM ANTI-WRINKLES FIRMING ORANGE ESSENCE,KSh 399,KSh 639,N/A
"Pei Mei Vitamin C,Hyaluronic Acid And Retinol C Face Serum Set-You Can Purchase Set Or Any Of The Items",KSh 370 - KSh 999,"KSh 700 - KSh 1,500",4.1 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Ageing Eye Serum,KSh 499,KSh 800,4.3 out of 5
"2pcs Serum Anti-acne,Anti- Aging Vitamin C Serum Face Serum Brightening Anti-Moisturzing Essence",KSh 690,KSh 899,N/A
"Dr. Rashel Vitamin C Eye Serum For Dark Circles, Wrinkles, Eye Bags",KSh 490,N/A,N/A
"Vitamin C Firming Anti Wrinkle,Anti Aging, Anti-Acne,Vitamin C Serum ..",KSh 499,KSh 899,3.8 out of 5
Anti-acne Vitamin C Serum Moisturizing Fresh Orange Vitamin C Essence,KSh 399,KSh 649,N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum-50ml,KSh 499,KSh 755,4.3 out of 5
Disaar Vitamin C Whitening Serum Hyaluronic Acid -30ml,KSh 798,"KSh 1,000",N/A
Dr. Rashel Vitamin C Face Cream+Face Serum+Eye Serum,"KSh 1,190","KSh 2,200",4.5 out of 5
Medix5 5 VITAMIN C & GLYCOLIC ACID Firming & Brightening Facial Serum. Removes Wrinkles.,"KSh 1,090","KSh 1,500",4 out of 5
"Vitamin C Dr. Rashel 3 IN 1 SET Face Cleanser, Serum + Cream","KSh 1,298","KSh 1,500",4.6 out of 5
"Dr. Rashel Vitamin C Eye Serum For Dark Circles, Wrinkles, Eye Bags",KSh 490,N/A,N/A
Dr. Rashel Anti-aging Moisturizing Vitamin C Facial Serum Set 3 Pack,"KSh 1,198","KSh 1,800",N/A
"Pei Mei Vitamin C, Retinol C & Hyaluronic-Acid",KSh 499,KSh 988,N/A
Vitamin C Dr. Rashel Face Serum + Cream + Toner,"KSh 1,299","KSh 1,500",4.4 out of 5
Vitamin C Infused Face Serum Moisturizing Anti-Aging Vitamin C  Brightening Serum,KSh 420,KSh 550,4.3 out of 5
"Mabox Vitamin C 20%, Hyaluronic Acid,Vitamin E Anti Aging Serum-30ml.","KSh 1,350","KSh 1,800",3 out of 5
Dr. Rashel Vitamin C Brightening and Anti-aging Eye serum with Hyaluronic Acid and Collagen,KSh 499,KSh 800,3 out of 5
"Dr. Rashel Vitamin C Eye Serum For Dark Circles, Wrinkles, Eye Bags",KSh 488,KSh 966,1 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging Eye Serum.,KSh 499,KSh 520,3.8 out of 5
B.B  Unifying Serum AHA Vitamin C - BB Clear Knuckle Serum,KSh 650,"KSh 1,000",N/A
Vitamin C Face Serum (Anti-Aging)-50ML,KSh 900,N/A,N/A
Vitamin C Brightening and Anti-aging Eye serum with Hyaluronic Acid and Collagen,KSh 900,N/A,N/A
"Mabox Vitamin C 20%, Hyaluronic Acid,Vitamin E Anti Aging Serum.","KSh 2,799","KSh 3,299",N/A
Dr. Rashel Vitamin C Face Serum (Anti-Aging),KSh 498,KSh 800,N/A
Vitamin C Dr. Rashel Face Serum + Cream + Toner 3IN1 SET,"KSh 1,299","KSh 1,700",4.8 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging Eye Serum,KSh 473,KSh 800,4.3 out of 5
The Purest Solutions Caffeine 5% + Vitamin C Radiance Eye Contour Serum 30ml,"KSh 3,400",N/A,N/A
Dr. Rashel Vitamin C Face Serum -50ml Dr Rashel.,KSh 551,"KSh 1,050",3.9 out of 5
2pcs Vitamin C Serum Anti-aging Moisturizing VItamin C Face Essence,KSh 690,KSh 899,N/A
White Secret  Concentrate Lightening Unifying Complexion Vitamin E Serum,KSh 599,KSh 800,N/A
Mabox Anti-acne Vitamin C Serum With Hyaluronic Acid + Vitamin E Face Serum.,"KSh 2,347","KSh 2,547",N/A
"Vitamin C Firming Anti Wrinkle, Anti Aging, Anti Acne, Vitamin C Serum",KSh 474,N/A,3.9 out of 5
QBD Anti-acne Vitamin C Serum With Hyaluronic Acid Serum.,KSh 530,KSh 600,N/A
"Vitamin C Firming Anti Wrinkle,Anti Aging, Anti-Acne,Vitamin C Serum ..",KSh 489,KSh 700,N/A
Vitamin C Face Serum with Niacinamide Hyaluronic Acid Moisturizing Serum Anti-Aging Anti-acne Facial Serum,KSh 499,KSh 649,N/A
"Mabox Vitamin C 20%, Hyaluronic Acid,Vitamin E Anti Aging Serum.","KSh 1,550","KSh 1,800",4.8 out of 5
Dr. Rashel Vitamin C Brightening and Anti-aging Eye serum with Hyaluronic Acid and Collagen,KSh 750,"KSh 1,300",N/A
"Pei Mei Vitamin C, Retinol C & Hyaluronic-Acid-30ml.",KSh 700,"KSh 1,390",N/A
Vitamin C Brightening and Anti-aging Eye serum with Hyaluronic Acid and Collagen,KSh 900,N/A,N/A
Mabox Anti Wrinkle Vitamin C Anti-aging Face Serum 30ml,KSh 849,"KSh 1,099",N/A
"Pei Mei  Vitamin C, Retinol C & Hyaluronic-Acid",KSh 700,KSh 800,N/A
Vitamin C Dr. Rashel SET 4 IN 1Face Cleanser +Serum + Cream + Eye Serum,"KSh 1,690","KSh 1,800",4.3 out of 5
"Vitamin C Dr. Rashel 3 IN 1 SET Face Cleanser, Serum + Cream","KSh 1,250","KSh 1,500",N/A
Vitamin C Dr. Rashel Vitamin C Face Cream+Face Serum+Eye Serum,"KSh 1,098","KSh 1,700",4.3 out of 5
"Vitamin C  Face Serum Anti Aging, Anti Acne, Best VitaminC Serum .",KSh 750,N/A,N/A
BIOAQUA 10 Pack Hyaluronic Acid Vitamin Complex B6 Ampules,"KSh 1,859","KSh 3,500",5 out of 5
Dr. Rashel Vitamin C Face Serum -50ml.,KSh 950,"KSh 1,400",N/A
Dr. Rashel Vitamin C Face Serum -50ml Dr Rashel.,KSh 590,KSh 950,4.3 out of 5
"Vitamin C Face Serum Firming Anti Wrinkle,Anti Aging, Anti Acne,Vitamin C",KSh 849,"KSh 1,499",4.6 out of 5
Vitamin C Anti-Aging Brightening Serum,"KSh 1,000","KSh 1,800",4 out of 5
Black Facial Mask - 120ml + Vitamin C Serum - 30ml(Whitening&Rejuvenating System),KSh 703,KSh 816,N/A
Pei Mei Brightening Vitamin C Serum,KSh 419,KSh 533,N/A
Dr Davey Vitamin C 20% + Vitamin E + Hydraulic Acid With Anti Aging Brightening Serum,KSh 441,KSh 589,N/A
"Vitamin C Firming Anti Wrinkle,aging And Acne Serum",KSh 799,"KSh 1,100",4 out of 5
Vitamin C Dr. Rashel Face Serum + Cream + Toner,"KSh 1,250","KSh 1,500",N/A
Moroccan Argan Oil Natural Morrocan Argan Oil Vitamin C & E Included,KSh 599,KSh 800,N/A
Vitamin C MÔOYAM Serum +Free Face Cleanser+Free Face Toner,KSh 799,"KSh 1,598",N/A
Dr. Rashel Vitamin C Brightening And Anti Ageing Eye Serum.,KSh 509,"KSh 1,000",N/A
Aichun Beauty Natural Vitamin E Face Serum Brightening Lifting Eyes,KSh 799,"KSh 1,400",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,900",N/A,N/A
DR MEINAIER  VITAMIN C skin brightening and whightening Face & Body Serum,"KSh 1,000","KSh 1,500",N/A
SADOER SADOER_EVENING PRIMEROSE VITAMIN E SERUM soft easy to absorb high moisturizing power and skin feels refreshed. 30ml,KSh 350,N/A,N/A
Disaar Vitamin E Beauty Skin Care Face Moisturizing Serum,KSh 760,"KSh 1,590",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,"KSh 1,000",N/A,N/A
Disaar Vitamin E Beauty Skin Care Face Moisturizing Serum,KSh 760,"KSh 1,590",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,"KSh 1,000",N/A,N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,900",N/A,N/A
Disaar Vitamin C Whitening Serum Hyaluronic Acid -30ml,KSh 798,"KSh 1,399",N/A
